,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents_length,consequents_length
0,frozenset({'abstract'}),frozenset({'algebra'}),0.01011571210246707,0.008514664143803218,0.005167018412051525,0.5107913669064748,59.98960831334931,0.005080886520923612,2.026712671823696,1,1
1,frozenset({'algebra'}),frozenset({'abstract'}),0.008514664143803218,0.01011571210246707,0.005167018412051525,0.6068376068376068,59.98960831334931,0.005080886520923612,2.517749167043725,1,1
2,frozenset({'abstract'}),frozenset({'field'}),0.01011571210246707,0.008732988865439197,0.005167018412051525,0.5107913669064748,58.48986810551558,0.005078678010894691,2.026266390407411,1,1
3,frozenset({'field'}),frozenset({'abstract'}),0.008732988865439197,0.01011571210246707,0.005167018412051525,0.5916666666666667,58.48986810551558,0.005078678010894691,2.424206419340897,1,1
4,frozenset({'abstract'}),frozenset({'irreducibles'}),0.01011571210246707,0.005167018412051525,0.005167018412051525,0.5107913669064748,98.85611510791365,0.005114750341367065,2.033555653540071,1,1
5,frozenset({'irreducibles'}),frozenset({'abstract'}),0.005167018412051525,0.01011571210246707,0.005167018412051525,1.0,98.85611510791367,0.005114750341367065,inf,1,1
6,frozenset({'ring'}),frozenset({'abstract'}),0.005167018412051525,0.01011571210246707,0.005167018412051525,1.0,98.85611510791367,0.005114750341367065,inf,1,1
7,frozenset({'abstract'}),frozenset({'ring'}),0.01011571210246707,0.005167018412051525,0.005167018412051525,0.5107913669064748,98.85611510791365,0.005114750341367065,2.033555653540071,1,1
8,frozenset({'develop'}),frozenset({'academic'}),0.05501782985226694,0.025252892802561676,0.004875918783203551,0.08862433862433862,3.509472729213363,0.0034865594237146764,1.0695338360540831,1,1
9,frozenset({'academic'}),frozenset({'develop'}),0.025252892802561676,0.05501782985226694,0.004875918783203551,0.1930835734870317,3.509472729213363,0.0034865594237146764,1.1711029037187977,1,1
10,frozenset({'academic'}),frozenset({'dissertation'}),0.025252892802561676,0.02845498871988938,0.005530892948111491,0.21902017291066284,7.6970746699882815,0.004812322168270023,1.2440078188715809,1,1
11,frozenset({'dissertation'}),frozenset({'academic'}),0.02845498871988938,0.025252892802561676,0.005530892948111491,0.19437340153452687,7.6970746699882815,0.004812322168270023,1.2099241870292012,1,1
12,frozenset({'research'}),frozenset({'academic'}),0.04926861218251947,0.025252892802561676,0.0072774907211993305,0.14771048744460857,5.849250167078866,0.006033315739223182,1.1436807479595594,1,1
13,frozenset({'academic'}),frozenset({'research'}),0.025252892802561676,0.04926861218251947,0.0072774907211993305,0.2881844380403458,5.849250167078865,0.006033315739223182,1.3356428808609948,1,1
14,frozenset({'academic'}),frozenset({'student'}),0.025252892802561676,0.08842151226257186,0.01273560876209883,0.5043227665706053,5.703620687610442,0.01050270979149171,1.8390566002609745,1,1
15,frozenset({'student'}),frozenset({'academic'}),0.08842151226257186,0.025252892802561676,0.01273560876209883,0.1440329218106996,5.703620687610441,0.01050270979149171,1.1387670531200842,1,1
16,frozenset({'study'}),frozenset({'academic'}),0.09555345316934721,0.025252892802561676,0.006476966741867404,0.06778370144706779,2.684195508888065,0.0040639656320672814,1.0456233265933306,1,1
17,frozenset({'academic'}),frozenset({'study'}),0.025252892802561676,0.09555345316934721,0.006476966741867404,0.2564841498559078,2.6841955088880645,0.0040639656320672814,1.2164455494195217,1,1
18,frozenset({'organism'}),frozenset({'adaptation'}),0.008078014700531258,0.004148169711083618,0.004002619896659632,0.49549549549549543,119.44918602813338,0.0039691109207532,1.973920592179816,1,1
19,frozenset({'adaptation'}),frozenset({'organism'}),0.004148169711083618,0.008078014700531258,0.004002619896659632,0.9649122807017544,119.44918602813338,0.0039691109207532,28.26977658103486,1,1
20,frozenset({'algebra'}),frozenset({'field'}),0.008514664143803218,0.008732988865439197,0.005167018412051525,0.6068376068376068,69.48796296296295,0.005092659944890737,2.5212660935379043,1,1
21,frozenset({'field'}),frozenset({'algebra'}),0.008732988865439197,0.008514664143803218,0.005167018412051525,0.5916666666666667,69.48796296296295,0.005092659944890737,2.4281273531172167,1,1
22,frozenset({'algebra'}),frozenset({'irreducibles'}),0.008514664143803218,0.005167018412051525,0.005167018412051525,0.6068376068376068,117.44444444444443,0.0051230229856480585,2.530336061864999,1,1
23,frozenset({'irreducibles'}),frozenset({'algebra'}),0.005167018412051525,0.008514664143803218,0.005167018412051525,1.0,117.44444444444443,0.0051230229856480585,inf,1,1
24,frozenset({'ring'}),frozenset({'algebra'}),0.005167018412051525,0.008514664143803218,0.005167018412051525,1.0,117.44444444444443,0.0051230229856480585,inf,1,1
25,frozenset({'algebra'}),frozenset({'ring'}),0.008514664143803218,0.005167018412051525,0.005167018412051525,0.6068376068376068,117.44444444444443,0.0051230229856480585,2.530336061864999,1,1
26,frozenset({'mathematical'}),frozenset({'analyse'}),0.03726075249254057,0.022487446328505932,0.00946073793755913,0.25390625,11.29102194579288,0.00862283876572338,1.3101738939261909,1,1
27,frozenset({'analyse'}),frozenset({'mathematical'}),0.022487446328505932,0.03726075249254057,0.00946073793755913,0.42071197411003236,11.291021945792881,0.00862283876572338,1.6619353490491897,1,1
28,frozenset({'application'}),frozenset({'analysis'}),0.0184848264318463,0.018120951895786334,0.004512044247143585,0.24409448818897636,13.470290611263952,0.004177081596570138,1.298944157387866,1,1
29,frozenset({'analysis'}),frozenset({'application'}),0.018120951895786334,0.0184848264318463,0.004512044247143585,0.24899598393574296,13.470290611263952,0.004177081596570138,1.3069373166763116,1,1
30,frozenset({'analysis'}),frozenset({'cardinality'}),0.018120951895786334,0.005167018412051525,0.005167018412051525,0.285140562248996,55.18473895582329,0.005073387119962097,1.391648384356175,1,1
31,frozenset({'cardinality'}),frozenset({'analysis'}),0.005167018412051525,0.018120951895786334,0.005167018412051525,1.0,55.18473895582329,0.005073387119962097,inf,1,1
32,frozenset({'analysis'}),frozenset({'column'}),0.018120951895786334,0.004512044247143585,0.004512044247143585,0.24899598393574296,55.18473895582329,0.004430281710389437,1.3255427860024664,1,1
33,frozenset({'column'}),frozenset({'analysis'}),0.004512044247143585,0.018120951895786334,0.004512044247143585,1.0,55.18473895582329,0.004430281710389437,inf,1,1
34,frozenset({'analysis'}),frozenset({'consultation'}),0.018120951895786334,0.008441889236591223,0.004512044247143585,0.24899598393574296,29.49529151087107,0.004359069178377759,1.3203099977544854,1,1
35,frozenset({'consultation'}),frozenset({'analysis'}),0.008441889236591223,0.018120951895786334,0.004512044247143585,0.5344827586206896,29.495291510871066,0.004359069178377759,2.109221658890533,1,1
36,frozenset({'countable'}),frozenset({'analysis'}),0.005167018412051525,0.018120951895786334,0.005167018412051525,1.0,55.18473895582329,0.005073387119962097,inf,1,1
37,frozenset({'analysis'}),frozenset({'countable'}),0.018120951895786334,0.005167018412051525,0.005167018412051525,0.285140562248996,55.18473895582329,0.005073387119962097,1.391648384356175,1,1
38,frozenset({'analysis'}),frozenset({'design'}),0.018120951895786334,0.013754457463066735,0.004512044247143585,0.24899598393574296,18.10293023947642,0.004262800385102713,1.3132360432711037,1,1
39,frozenset({'design'}),frozenset({'analysis'}),0.013754457463066735,0.018120951895786334,0.004512044247143585,0.328042328042328,18.10293023947642,0.004262800385102713,1.4612215755251683,1,1
40,frozenset({'analysis'}),frozenset({'development'}),0.018120951895786334,0.03857070082235645,0.005167018412051525,0.285140562248996,7.392672577100856,0.004468080597862837,1.3449207612091756,1,1
41,frozenset({'development'}),frozenset({'analysis'}),0.03857070082235645,0.018120951895786334,0.005167018412051525,0.1339622641509434,7.392672577100856,0.004468080597862837,1.1337601209046475,1,1
42,frozenset({'uncountable'}),frozenset({'analysis'}),0.005167018412051525,0.018120951895786334,0.005167018412051525,1.0,55.18473895582329,0.005073387119962097,inf,1,1
43,frozenset({'analysis'}),frozenset({'uncountable'}),0.018120951895786334,0.005167018412051525,0.005167018412051525,0.285140562248996,55.18473895582329,0.005073387119962097,1.391648384356175,1,1
44,frozenset({'analytic'}),frozenset({'complex'}),0.005458118040899498,0.005094243504839531,0.005094243504839531,0.9333333333333333,183.21333333333334,0.005066438522461031,14.92358634742741,1,1
45,frozenset({'complex'}),frozenset({'analytic'}),0.005094243504839531,0.005458118040899498,0.005094243504839531,1.0,183.21333333333334,0.005066438522461031,inf,1,1
46,frozenset({'contour'}),frozenset({'analytic'}),0.005094243504839531,0.005458118040899498,0.005094243504839531,1.0,183.21333333333334,0.005066438522461031,inf,1,1
47,frozenset({'analytic'}),frozenset({'contour'}),0.005458118040899498,0.005094243504839531,0.005094243504839531,0.9333333333333333,183.21333333333334,0.005066438522461031,14.92358634742741,1,1
48,frozenset({'holomorphic'}),frozenset({'analytic'}),0.005094243504839531,0.005458118040899498,0.005094243504839531,1.0,183.21333333333334,0.005066438522461031,inf,1,1
49,frozenset({'analytic'}),frozenset({'holomorphic'}),0.005458118040899498,0.005094243504839531,0.005094243504839531,0.9333333333333333,183.21333333333334,0.005066438522461031,14.92358634742741,1,1
50,frozenset({'singularity'}),frozenset({'analytic'}),0.005094243504839531,0.005458118040899498,0.005094243504839531,1.0,183.21333333333334,0.005066438522461031,inf,1,1
51,frozenset({'analytic'}),frozenset({'singularity'}),0.005458118040899498,0.005094243504839531,0.005094243504839531,0.9333333333333333,183.21333333333334,0.005066438522461031,14.92358634742741,1,1
52,frozenset({'application'}),frozenset({'basic'}),0.0184848264318463,0.05683720253256677,0.006913616185139364,0.374015748031496,6.580474255698831,0.005862990361453172,1.506687739350491,1,1
53,frozenset({'basic'}),frozenset({'application'}),0.05683720253256677,0.0184848264318463,0.006913616185139364,0.12163892445582586,6.580474255698831,0.005862990361453172,1.1174392865258425,1,1
54,frozenset({'application'}),frozenset({'column'}),0.0184848264318463,0.004512044247143585,0.004512044247143585,0.24409448818897636,54.09842519685039,0.004428639892382325,1.316947608131383,1,1
55,frozenset({'column'}),frozenset({'application'}),0.004512044247143585,0.0184848264318463,0.004512044247143585,1.0,54.098425196850386,0.004428639892382325,inf,1,1
56,frozenset({'application'}),frozenset({'consultation'}),0.0184848264318463,0.008441889236591223,0.004512044247143585,0.24409448818897636,28.91467553624762,0.004355997389848325,1.3117487506974264,1,1
57,frozenset({'consultation'}),frozenset({'application'}),0.008441889236591223,0.0184848264318463,0.004512044247143585,0.5344827586206896,28.914675536247618,0.004355997389848325,2.108440002479737,1,1
58,frozenset({'application'}),frozenset({'design'}),0.0184848264318463,0.013754457463066735,0.004512044247143585,0.24409448818897636,17.746573344998538,0.004257795488274583,1.304720665647818,1,1
59,frozenset({'design'}),frozenset({'application'}),0.013754457463066735,0.0184848264318463,0.004512044247143585,0.328042328042328,17.746573344998538,0.004257795488274583,1.4606800614518192,1,1
60,frozenset({'habitat'}),frozenset({'aquatic'}),0.00924241321592315,0.004439269339931592,0.004002619896659632,0.43307086614173224,97.554537240222,0.003961590335043206,1.7560585110253981,1,1
61,frozenset({'aquatic'}),frozenset({'habitat'}),0.004439269339931592,0.00924241321592315,0.004002619896659632,0.9016393442622951,97.55453724022202,0.003961590335043206,10.072702132304782,1,1
62,frozenset({'module'}),frozenset({'arabic'}),0.15137180700094607,0.00924241321592315,0.004148169711083618,0.027403846153846154,2.965009842519685,0.002749128921539906,1.018673149041463,1,1
63,frozenset({'arabic'}),frozenset({'module'}),0.00924241321592315,0.15137180700094607,0.004148169711083618,0.44881889763779526,2.965009842519685,0.002749128921539906,1.5396540072982834,1,1
64,frozenset({'assessment'}),frozenset({'psychology'}),0.020740848555418093,0.03704242777090459,0.005821992576959464,0.2807017543859649,7.577844414572777,0.005053701192438119,1.3387458930989862,1,1
65,frozenset({'psychology'}),frozenset({'assessment'}),0.03704242777090459,0.020740848555418093,0.005821992576959464,0.15717092337917485,7.577844414572777,0.005053701192438119,1.1618715806183966,1,1
66,frozenset({'assessment'}),frozenset({'student'}),0.020740848555418093,0.08842151226257186,0.004584819154355578,0.22105263157894736,2.4999870045484083,0.0027508819594765314,1.1702696802034551,1,1
67,frozenset({'student'}),frozenset({'assessment'}),0.08842151226257186,0.020740848555418093,0.004584819154355578,0.05185185185185186,2.4999870045484083,0.0027508819594765314,1.0328123862892074,1,1
68,frozenset({'assessment'}),frozenset({'study'}),0.020740848555418093,0.09555345316934721,0.005458118040899498,0.2631578947368421,2.7540385617509116,0.003476258339766832,1.2274631706987431,1,1
